term,Category,Freq,Term,Total,loglift,logprob
414,Topic3,1.229550170065291,국가,1.7923292720170372,0.7192588807606832,0.004595227218730574
657,Topic3,1.2280864417607065,뉴스,1.4739173046084948,0.8541889308990058,0.0045897567919762974
266,Topic3,1.1119085439226464,경제,1.737377128118573,0.6758147828189582,0.004155562359444922
733,Topic3,1.0984257747640795,대통령,4.12251165791262,0.29870777752175154,0.004105172884228941
1057,Topic3,1.0852958542099405,발표,2.211156368126883,0.5306059124297708,0.004056102118530178
2360,Topic3,1.0786468378075529,정책,1.876187037552387,0.6132993518163165,0.004031252590715939
104,Topic3,1.0481229530438159,co,1.2558582656923716,0.8554204664749074,0.0039171749471170044
2370,Topic3,1.0153276164658112,제도,1.211739165690452,0.8583954199956811,0.0037946081523983523
679,Topic3,0.9896785336828616,단체,1.8052201699499515,0.5872963132320621,0.0036987492226782034
738,Topic3,0.9878154599303166,대한민국,2.3278706883361693,0.4636397251786967,0.0036917863126427865
2337,Topic3,0.9579787082639648,정보,1.3091988657715685,0.761820107836295,0.0035802767079810708
545,Topic3,0.9342735324628946,기후,0.9342735324628946,1.0,0.0034916827882550583
423,Topic3,0.9179277054672614,국내,1.714361345342876,0.5747472642072224,0.0034305931385996834
1955,Topic3,0.9070655256476083,위원회,1.2183256032169625,0.7736185968536906,0.0033899976545135263
2036,Topic3,0.8875152018819894,의원,1.0584721656895073,0.8589123697249027,0.0033169317625393936
2280,Topic3,0.8651390305888066,전국,1.4714798526406072,0.6259122751414322,0.003233304763104348
1390,Topic3,0.8345429219189332,서비스,0.8549468365814525,0.9795764035008053,0.0031189571953759206
2945,Topic3,0.8286216311413275,피해자,0.8286216311413275,1.0,0.0030968274139211074
2151,Topic3,0.8279899701893405,일본,1.2518236705156258,0.6961290158932898,0.003094466692357852
2943,Topic3,0.811230753618739,피해,0.9178311117965441,0.8992335735716049,0.0030318320719700223
245,Topic3,0.7799427244517758,결정,1.253237593183087,0.6589848872936631,0.002914898573241109
2512,Topic3,0.7594923869688728,지원,0.9155567816020421,0.8508969695671973,0.0028384690385042945
1049,Topic3,0.7558972548766982,발생,0.8678792084000735,0.8878374630013404,0.002825032865465486
444,Topic3,0.7551894475293458,국정,0.7551894475293459,0.9999999999999999,0.0028223875601600533
822,Topic3,0.7517549630320224,디지털,0.7925627923570611,0.9557570782600923,0.0028095517792145943
107,Topic3,0.7504389529404273,do,1.96211890696235,0.4207164849661066,0.0028046334232660116
1,Topic3,0.7470581881059021,10대,0.8375939341484205,0.9063337969220989,0.0027919984100994374
502,Topic3,0.7381737107203404,기관,0.968803495271306,0.7896201551335611,0.0027587942405581803
2974,Topic3,0.7196510858173703,한국,3.583504599014421,0.22760490052315194,0.002689569192090297
2105,Topic3,0.7177788623603034,이후,1.8479971956815011,0.42684562963120576,0.0026825720866456263
2660,Topic3,0.7132377839573487,총선,0.7132377839573486,1.0000000000000002,0.002665600605865352
78,Topic3,0.7097470182673767,4월,0.9978467481849548,0.7428574950748444,0.0026525544838743166
3173,Topic3,0.7053374938405065,후보,1.8351244068388262,0.4226666546242179,0.002636074662911065
1947,Topic3,0.688245390958572,위기,0.6882453909585718,1.0000000000000002,0.0025721959385608087
88,Topic3,0.6877261247590343,7월,1.3565570300838359,0.5466467878413194,0.00257025527259046
452,Topic3,0.6812725043115164,국회의원,0.6812725043115164,1.0,0.002546136002745446
1274,Topic3,0.666696794502367,사드,1.1524110802166527,0.6167997491897929,0.0024916618543308535
1622,Topic3,0.6615559562360561,시장,0.8061010335569474,0.8429409517680937,0.002472448876687829
1321,Topic3,0.6544849743128062,산업,0.9215978845992722,0.741819900119454,0.002446022327053709
1652,Topic3,0.6477192166403566,실시,1.124900332493227,0.6141600920280161,0.002420736499302472
2068,Topic3,0.646196997982127,이상,0.8868997088162638,0.7589284479651818,0.0024150474751524586
1213,Topic3,0.641456313847955,분야,0.9196729863847202,0.7299980711367846,0.0023973300031052656
1605,Topic3,0.6358187548831468,시민,0.6358187548831468,1.0,0.0023762606193314336
1203,Topic4,4.229933799711555,북한,4.833037621914957,0.9681934940143868,0.038855867917883744
733,Topic4,2.2722985055952827,대통령,4.12251165791262,0.8420285846889383,0.02087317078329587
111,Topic4,1.5429241920898313,kr,6.4296736949902975,0.5781200905289312,0.01417319075282884
973,Topic4,1.383255676587809,미국,2.4387262215822485,0.8504788970496342,0.012706487243328471
3158,Topic4,1.3760380931421423,회담,1.8224822125942723,0.9304458501636971,0.012640187040457636
2825,Topic4,1.1940558846971374,트럼프,1.1940558846971376,1.0,0.010968511551062005
1260,Topic4,1.1643042002616872,비핵화,1.1643042002616872,1.0,0.010695214715816675
3010,Topic4,1.096489271344146,합의,1.639293688727943,0.8976175294396197,0.01007227165201262
2887,Topic4,1.07098001980184,평화,1.1097001744349588,0.9917387023589378,0.00983794550045926
1426,Topic4,1.0548561929556088,선언,1.3047871346598714,0.9482347937428802,0.009689833185720266
602,Topic4,0.9432644660380566,남북,1.9444668300202785,0.8034974508963438,0.008664759601322168
571,Topic4,0.8985389149730881,김정은,0.8985389149730879,1.0,0.008253913903251557
3047,Topic4,0.8724421174356484,핵실험,0.9047169786540432,0.991548437873659,0.008014190596408389
2993,Topic4,0.8548779490615687,한반도,1.118310329350906,0.9337065330550244,0.00785284740789862
202,Topic4,0.8140347016483122,개최,2.8718878659675675,0.6319271564004101,0.007477664272187337
1057,Topic4,0.8002080166829262,발표,2.211156368126883,0.7111063156718818,0.00735065333769142
2341,Topic4,0.7622311367621853,정부,3.997833581685328,0.505546836561614,0.0070018004477870295
957,Topic4,0.7330087328081509,문재인,1.318732415851961,0.8445156655077676,0.006733365545009486
2346,Topic4,0.7219069074204129,정상회담,0.7541817686388081,0.9898040497943222,0.006631384974783363
432,Topic4,0.7159072094960892,국무위원,0.7159072094960893,1.0,0.006576272180793387
2882,Topic4,0.7112749663666612,평양,0.7112749663666615,0.9999999999999999,0.0065337207282829875
713,Topic4,0.6831126564534511,대북,0.8388124452857559,0.9501043929209954,0.006275023773185292
1954,Topic4,0.6768472125601133,위원장,0.9912794693482762,0.9033126145698979,0.0062174698558206615
1200,Topic4,0.6712019501602043,북미,0.6712019501602042,1.0000000000000002,0.006165612881087954
1063,Topic4,0.6426053501572437,방문,0.7331410961997622,0.9685589459185259,0.005902926568434231
3086,Topic4,0.642202735526452,협력,0.8441572256934039,0.9324388525639068,0.005899228179367974
